Date,Weight,"Fat mass",Comments
"2015-06-06 08:10:47",178,41.4,
"2015-06-02 06:00:30",177.1,40.4,
"2015-06-01 06:23:50",177.7,41.7,
"2015-05-29 05:58:52",178.5,42,
"2015-05-28 06:19:52",178.7,40.6,
"2015-05-27 05:57:00",179.2,41,
"2015-05-26 05:54:13",177.2,40.4,
"2015-05-25 08:36:26",178.1,41.2,
"2015-05-23 07:40:46",176.7,40.7,
"2015-05-22 06:46:28",176.4,40.2,
"2015-05-20 06:12:15",178.9,40.5,
"2015-05-19 06:05:54",179,41.3,
"2015-05-17 07:18:48",178.8,40.6,
"2015-05-16 08:57:44",178.2,41.6,
"2015-05-15 06:16:29",178.7,42.5,
"2015-05-14 06:19:37",178.6,41.7,
"2015-05-13 06:22:24",178.4,41.8,
"2015-05-12 07:20:14",178.8,40.3,
"2015-05-11 06:06:58",179,39.5,
"2015-05-10 09:13:52",177.5,40.9,
"2015-05-09 07:35:10",178.6,40.6,
"2015-05-08 06:10:28",179.1,41.2,
"2015-05-07 06:45:37",178.6,40.9,
"2015-05-06 07:13:21",179.1,41.6,
"2015-05-05 06:50:12",179.3,40,
"2015-05-04 06:51:13",178.7,41.3,
"2015-05-01 06:39:22",178.6,40.9,
"2015-04-30 07:02:10",178,40.6,
"2015-04-28 06:55:23",179.6,41,
"2015-04-27 06:23:02",180.4,42.4,
"2015-04-24 06:21:31",179.9,42.5,
"2015-04-23 07:07:03",179.5,42.4,
"2015-04-22 07:21:21",179.1,41,
"2015-04-21 06:33:42",179,41.4,
"2015-04-20 06:32:03",177.6,40.8,
"2015-04-19 08:04:17",179.3,41.8,
"2015-04-18 08:00:06",178.4,41.5,
"2015-04-17 07:01:58",179.1,40.3,
"2015-04-16 05:57:28",178.7,41.1,
"2015-04-15 06:03:15",179.1,,
"2015-04-14 06:31:24",177.6,40.4,
"2015-04-13 06:05:08",178.1,42.7,
"2015-04-12 10:06:18",179.7,42.4,
"2015-04-09 07:27:15",180.1,42.8,
"2015-04-08 06:57:56",181.2,43,
"2015-03-30 06:26:14",179.2,42.2,
"2015-03-25 06:18:10",180.3,42.2,
"2015-03-16 06:18:19",182.3,42.6,
"2015-03-13 06:59:12",179.9,43.3,
"2015-03-12 07:04:31",179.8,41.5,
"2015-03-11 06:17:18",180.9,43.3,
"2015-03-10 05:51:25",180.7,42.4,
"2015-03-09 06:41:11",181.8,42.2,
"2015-03-06 07:02:42",182.4,41.8,
"2015-03-05 07:21:01",180.2,41.1,
"2015-03-04 06:49:13",180.4,40.8,
"2015-03-03 06:41:09",179,42.7,
"2015-03-02 06:25:24",181.2,42.8,
"2015-02-28 08:33:25",179.9,42.8,
"2015-02-27 06:11:29",179.9,42.2,
"2015-02-26 07:18:01",179.9,41.7,
"2015-02-23 07:50:09",179.6,41,
"2015-02-20 06:37:22",181,42.6,
"2015-02-16 08:09:37",180.7,40.5,
"2015-02-13 06:27:44",179.5,42.5,
"2015-02-11 06:24:01",179.7,41.9,
"2015-02-10 06:27:18",179.8,40.5,
"2015-02-09 07:40:11",180.8,39.8,
"2015-02-08 10:52:43",180.4,,
"2015-02-06 06:34:43",180.9,41.5,
"2015-02-05 06:32:37",180,42,
"2015-02-04 06:39:35",180.2,42.4,
"2015-02-03 07:36:46",179.5,41.5,
"2015-01-30 05:55:26",178.1,40.4,
"2015-01-29 05:50:00",178.7,41.2,
"2015-01-29 05:49:42",178.6,41.2,
"2015-01-27 08:11:51",178.6,40.8,
"2015-01-26 06:40:08",179.2,41.6,
"2015-01-23 06:39:54",178.4,41,
"2015-01-22 06:25:01",180,41.2,
"2015-01-21 06:23:19",178.2,41.2,
"2015-01-20 06:13:27",178.9,40.9,
"2015-01-17 08:37:31",178.5,41,
"2015-01-16 06:17:46",180.6,41.6,
"2015-01-15 06:22:06",182.5,42,
"2015-01-14 06:32:54",180.6,42.2,
"2015-01-13 06:06:05",178.6,40.1,
"2015-01-09 06:20:01",179.9,42.7,
"2015-01-08 06:34:30",179.7,42.2,
"2015-01-07 06:40:24",179.1,42.9,
"2015-01-06 05:54:39",177.5,,
"2015-01-05 06:10:04",179.2,41.8,
"2015-01-04 08:38:26",180.4,42.6,
"2015-01-03 08:35:12",180.4,43.5,
"2014-12-25 14:07:28",179.6,41.2,
"2014-12-24 09:19:46",179.5,,
"2014-12-23 08:02:40",179.5,41.2,
"2014-12-20 10:36:20",180.2,42.1,
"2014-12-19 06:16:09",178.8,41.7,
"2014-12-18 06:55:04",178.4,41.6,
"2014-12-17 06:43:57",178.4,40.9,
"2014-12-16 06:26:00",179.1,42.4,
"2014-12-15 06:17:31",179.2,42.4,
"2014-12-14 07:43:29",178.8,,
"2014-12-11 06:09:01",179.3,42,
"2014-12-10 06:20:36",179.2,41.8,
"2014-12-09 06:44:00",179.1,42.4,
"2014-12-08 06:43:57",178.8,40.6,
"2014-12-07 09:04:30",180.7,42.6,
"2014-12-05 06:18:42",181,42.3,
"2014-12-04 06:20:05",178.9,41.2,
"2014-12-03 06:23:36",178.9,42.3,
"2014-12-02 06:20:40",179.5,41.9,
"2014-12-01 06:07:40",179.2,42,
"2014-11-30 09:40:22",180.3,43.6,
"2014-11-25 06:14:30",179.3,40.6,
"2014-11-24 06:14:22",179.8,40.4,
"2014-11-23 08:46:44",178.2,41.1,
"2014-11-21 06:31:36",177.9,42.5,
"2014-11-20 06:18:50",178.6,42.6,
"2014-11-19 06:58:14",178.2,41.1,
"2014-11-18 07:13:15",178.1,41.2,
"2014-11-17 06:17:11",179.6,40.1,
"2014-11-14 07:19:06",178.8,40.5,
"2014-11-13 06:11:07",178.8,41.5,
"2014-11-12 06:23:11",178.1,41.5,
"2014-11-11 05:51:42",178.9,41.9,
"2014-11-10 06:35:54",178.9,40.4,
"2014-11-09 07:54:11",179.8,40.9,
"2014-11-05 06:52:39",181.5,40.9,
"2014-11-04 07:23:07",179.7,41.8,
"2014-11-03 06:34:15",179.8,40.9,
"2014-10-30 06:44:01",177.6,40.2,
"2014-10-29 07:28:05",177.4,41.1,
"2014-10-28 07:42:04",177.4,40.2,
"2014-10-25 08:46:22",177.5,41.2,
"2014-10-23 07:17:23",178,40.1,
"2014-10-16 06:36:27",178.2,38.6,
"2014-10-14 06:36:34",178.5,39,
"2014-10-13 06:40:07",178.4,39.9,
"2014-10-12 08:38:55",178.9,41.4,
"2014-10-09 06:27:10",176.7,39.7,
"2014-10-08 07:04:42",176.5,38.3,
"2014-10-07 06:19:19",175.6,39.3,
"2014-10-03 07:17:50",175,39.4,
"2014-10-01 06:17:13",175.4,40.2,
"2014-09-30 06:47:00",176.8,39.5,
"2014-09-29 06:37:54",176.5,39.9,
"2014-09-26 06:04:40",176.3,39.4,
"2014-09-25 07:03:29",176.3,40,
"2014-09-24 07:07:58",177,38,
"2014-09-22 06:14:23",177.4,38.6,
"2014-09-17 06:16:22",176.4,39.9,
"2014-09-10 06:01:03",175.6,38.7,
"2014-09-09 07:21:18",175.2,37.5,
"2014-09-08 06:28:01",174.6,40.1,
"2014-09-05 06:36:10",175.6,39.1,
"2014-09-04 06:09:00",176.1,40.7,
"2014-09-03 06:13:05",176.3,40.2,
"2014-09-02 06:44:08",176.5,,
"2014-09-02 06:23:36",176.6,40.6,
"2014-09-01 09:38:46",175.7,39.5,
"2014-08-31 13:22:17",173.9,38.8,
"2014-08-27 06:57:33",178.2,39.7,
"2014-08-26 05:49:27",178.9,40.7,
"2014-08-20 06:54:38",177,41.5,
"2014-08-19 06:07:17",178.5,40.3,
"2014-08-18 07:26:31",177.1,39.4,
"2014-08-15 06:13:49",177.2,40.7,
"2014-08-14 06:07:51",177.2,40.5,
"2014-08-13 06:37:48",175.9,37.4,
"2014-08-12 07:29:30",175.8,40.1,
"2014-08-11 06:40:58",177,39.8,
"2014-08-04 06:08:10",176.8,38,
"2014-08-03 08:32:27",176.4,39.2,
"2014-08-01 06:35:03",177,39.1,
"2014-07-31 06:24:11",175.9,39.5,
"2014-07-30 06:50:46",176.4,37.2,
"2014-07-23 06:42:55",175.6,37.7,
