"","Time","Name","Lon","Lat","Description","newtime"
"146","Wed, 27 Aug 14 23:23:11 +0000","Somerset Patriots Baseball @ TD Bank Ballpark",-74.5538146010092,40.5607956299477,"@",2014-08-27
"147","Mon, 25 Aug 14 22:54:48 +0000","Gabel's Ice Cream",-75.3045155548817,41.0372316957008,"@",2014-08-25
"148","Mon, 25 Aug 14 22:23:31 +0000","Camelbeach Mountain Waterpark",-75.3557898616003,41.0521835058427,"@",2014-08-25
"149","Sat, 23 Aug 14 00:26:39 +0000","Cask And KETTLE Homebrew",-74.4129016195785,40.9072862646993,"@",2014-08-23
"150","Fri, 22 Aug 14 19:41:08 +0000","AT&amp;T",-74.0056913064376,40.7163659840426,"@",2014-08-22
"151","Fri, 22 Aug 14 13:54:09 +0000","National September 11 Memorial &amp; Museum",-74.0121928788382,40.712237124309,"@",2014-08-22
"152","Wed, 20 Aug 14 22:52:53 +0000","SmartWorld Coffee",-74.4789479028823,40.7946153636058,"@",2014-08-20
"153","Tue, 19 Aug 14 22:39:27 +0000","Two Hands",-73.9961365207244,40.7194576133403,"@",2014-08-19
"154","Tue, 19 Aug 14 12:44:50 +0000","AT&amp;T",-74.006081521784,40.7165612890619,"@",2014-08-19
"155","Tue, 19 Aug 14 00:18:40 +0000","Pete's Tavern",-74.4757140023305,40.7969231969087,"@",2014-08-19
"156","Mon, 18 Aug 14 12:45:43 +0000","AT&amp;T",-74.6355914146903,40.6704677054787,"@",2014-08-18
"157","Sat, 16 Aug 14 18:28:25 +0000","Rebounderz",-74.3947785281757,40.5316009565104,"@",2014-08-16
"158","Sat, 16 Aug 14 01:58:51 +0000","Nuchas Artisan Empanadas",-73.9886587795426,40.7484971066826,"@",2014-08-16
"159","Fri, 15 Aug 14 23:02:54 +0000","Fast Forward Labs",-73.9930260912733,40.7202474312394,"@",2014-08-15
"160","Fri, 15 Aug 14 14:42:52 +0000","Everyman Espresso",-74.0046526411224,40.7214180257864,"@",2014-08-15
"161","Fri, 15 Aug 14 12:53:50 +0000","AT&amp;T",-74.0057486910973,40.7162872170712,"@",2014-08-15
"162","Fri, 15 Aug 14 12:46:39 +0000","Pecan Cafe",-74.0067988273296,40.7190091740573,"@",2014-08-15
"163","Tue, 12 Aug 14 23:13:14 +0000","Woodrow's",-74.0092778145812,40.713909884268,"@",2014-08-12
"164","Sat, 09 Aug 14 23:33:15 +0000","WaterFire Providence - Waterplace Park",-71.4138557080274,41.8266591851035,"@",2014-08-09
