Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2012-09-15 07:53:50,Cycling,,17.85,1:32:08,5:10,11.63,731.0,407.33,,,2012-09-15-0753.gpx
2012-09-13 06:45:13,Running,"Home 2mi",2.03,16:45,8:15,7.27,265.0,29.55,,,2012-09-13-0645.gpx
2012-09-10 08:25:16,Cycling,,3.76,20:32,5:27,11.00,154.0,52.91,,,2012-09-10-0825.gpx
2012-09-09 07:19:58,Cycling,,18.04,2:09:14,7:10,8.37,894.0,552.27,,"Fondo",2012-09-09-0719.gpx
2012-09-08 08:40:38,Cycling,,5.71,1:05:44,11:31,5.21,357.0,81.66,,,2012-09-08-0840.gpx
2012-09-06 18:28:56,Running,,3.12,25:44,8:15,7.28,405.0,36.33,,,2012-09-06-1828.gpx
2012-09-02 08:06:39,Cycling,,5.97,1:02:07,10:25,5.76,366.0,106.45,,,2012-09-02-0806.gpx
2012-09-01 07:26:12,Cycling,,17.91,1:37:30,5:27,11.02,751.0,400.45,,,2012-09-01-0726.gpx
2012-08-31 06:54:01,Running,"Home 2mi",2.04,16:43,8:13,7.30,277.0,30.27,,,2012-08-31-0654.gpx
2012-08-25 07:07:28,Cycling,,13.04,1:23:39,6:25,9.35,616.0,399.97,,,2012-08-25-0707.gpx
2012-08-24 07:06:39,Running,"Home 2mi",2.03,16:50,8:17,7.25,275.0,30.55,,,2012-08-24-0706.gpx
2012-08-22 07:03:03,Running,"Home 2mi",2.02,17:00,8:26,7.12,271.0,30.64,,,2012-08-22-0703.gpx
2012-08-19 07:07:26,Cycling,,17.73,1:40:03,5:39,10.63,739.0,314.68,,,2012-08-19-0707.gpx
2012-08-17 06:51:19,Running,"Home 2mi",2.15,18:00,8:22,7.17,298.0,31.82,,,2012-08-17-0651.gpx
2012-08-12 08:17:19,Cycling,,4.99,46:33,9:19,6.44,254.0,79.00,,"W kezia",2012-08-12-0817.gpx
2012-08-11 07:51:27,Cycling,,11.07,1:07:30,6:06,9.84,499.0,188.53,,,2012-08-11-0751.gpx
2012-08-05 07:53:04,Cycling,,13.06,1:15:32,5:47,10.38,531.0,238.87,,,2012-08-05-0753.gpx
2012-08-01 11:10:43,Running,,2.78,25:31,9:11,6.53,437.0,88.64,,"Morning run SD",2012-08-01-1110.gpx
2012-07-28 09:23:03,Running,,1.97,20:40,10:30,5.71,263.0,53.27,,,2012-07-28-0923.gpx
2012-07-25 07:23:41,Running,,1.89,19:57,10:32,5.70,251.0,18.64,,,2012-07-25-0723.gpx
2012-07-17 07:02:48,Running,,3.83,34:57,9:08,6.57,551.0,77.18,,"Morning run , SFCA",2012-07-17-0702.gpx
2012-07-15 07:30:52,Running,,2.04,16:37,8:10,7.34,319.0,94.95,,,2012-07-15-0730.gpx
2012-07-12 07:22:07,Running,,0.89,9:17,10:27,5.74,144.0,10.64,,,2012-07-12-0722.gpx
2012-07-09 06:42:49,Running,"Home 2mi",2.03,18:08,8:55,6.72,279.0,30.45,,,2012-07-09-0642.gpx
2012-07-07 07:22:29,Cycling,,13.09,1:15:55,5:48,10.34,524.0,242.55,,,2012-07-07-0722.gpx
2012-07-03 06:49:09,Running,"Home 2mi",2.04,17:20,8:31,7.04,279.0,30.91,,,2012-07-03-0649.gpx
2012-07-01 07:10:44,Cycling,"Breve NJ Fondo",20.66,1:59:36,5:47,10.36,858.0,666.73,,"Breve fondo!!!",2012-07-01-0710.gpx
2012-06-30 15:32:52,Running,,1.65,16:30,10:01,5.99,232.0,16.00,,,2012-06-30-1532.gpx
2012-06-29 06:50:17,Running,"Home 2mi",2.03,18:40,9:11,6.53,275.0,30.36,,,2012-06-29-0650.gpx
2012-06-26 17:39:18,Running,"Home 2mi",2.02,17:17,8:34,7.00,275.0,31.27,,,2012-06-26-1739.gpx
2012-06-25 19:33:50,Running,,3.11,26:33,8:31,7.04,406.0,35.52,,,2012-06-25-1933.gpx
2012-06-23 07:48:22,Cycling,,15.11,1:32:56,6:09,9.75,654.0,315.55,,,2012-06-23-0748.gpx
2012-06-22 06:59:58,Running,,2.03,17:39,8:42,6.89,276.0,29.73,,,2012-06-22-0659.gpx
2012-06-19 06:33:14,Running,,2.02,17:35,8:44,6.88,275.0,30.36,,,2012-06-19-0633.gpx
2012-06-18 06:50:15,Running,,1.25,11:07,8:54,6.75,171.0,10.36,,,2012-06-18-0650.gpx
