Date,Type,Value
2012-02-26 00:00:00,sleep_total,486.0
2011-12-18 00:00:00,sleep_total,382.0
2011-12-08 00:00:00,sleep_total,423.0
2012-05-09 00:00:00,sleep_total,353.0
2011-12-01 00:00:00,sleep_total,384.0
2012-06-28 00:00:00,sleep_total,389.0
2012-02-09 00:00:00,sleep_total,391.0
2012-01-20 00:00:00,sleep_total,411.0
2011-12-21 00:00:00,sleep_total,418.0
2011-12-11 00:00:00,sleep_total,442.0
2012-06-01 00:00:00,sleep_total,393.0
2011-12-17 00:00:00,sleep_total,515.0
2011-12-07 00:00:00,sleep_total,326.0
2012-01-13 00:00:00,sleep_total,546.0
2011-12-14 00:00:00,sleep_total,400.0
2012-03-03 00:00:00,sleep_total,545.0
2012-02-22 00:00:00,sleep_total,372.0
2011-12-20 00:00:00,sleep_total,443.0
2011-12-10 00:00:00,sleep_total,421.0
2012-02-28 00:00:00,sleep_total,392.0
2012-03-19 00:00:00,sleep_total,379.0
2011-11-30 00:00:00,sleep_total,416.0
2011-11-20 00:00:00,sleep_total,412.0
2012-02-21 00:00:00,sleep_times_woken,6.0
2012-02-11 00:00:00,sleep_times_woken,6.0
2012-02-26 00:00:00,sleep_times_woken,4.0
2011-12-18 00:00:00,sleep_times_woken,14.0
2011-12-13 00:00:00,sleep_times_woken,8.0
2011-11-23 00:00:00,sleep_times_woken,11.0
2011-12-08 00:00:00,sleep_times_woken,13.0
2011-12-03 00:00:00,sleep_times_woken,13.0
2012-03-15 00:00:00,sleep_times_woken,6.0
2012-05-09 00:00:00,sleep_times_woken,6.0
2012-03-05 00:00:00,sleep_times_woken,8.0
2011-12-01 00:00:00,sleep_times_woken,11.0
2012-06-28 00:00:00,sleep_times_woken,10.0
2012-02-09 00:00:00,sleep_times_woken,7.0
2012-01-20 00:00:00,sleep_times_woken,3.0
2012-01-15 00:00:00,sleep_times_woken,11.0
2011-12-21 00:00:00,sleep_times_woken,7.0
2011-12-16 00:00:00,sleep_times_woken,5.0
2011-12-11 00:00:00,sleep_times_woken,7.0
2011-12-06 00:00:00,sleep_times_woken,11.0
2012-06-01 00:00:00,sleep_times_woken,7.0
2011-12-02 00:00:00,sleep_times_woken,5.0
2011-11-22 00:00:00,sleep_times_woken,8.0
2012-01-21 00:00:00,sleep_times_woken,11.0
2011-12-17 00:00:00,sleep_times_woken,23.0
2011-12-12 00:00:00,sleep_times_woken,7.0
2011-12-07 00:00:00,sleep_times_woken,20.0
2012-01-13 00:00:00,sleep_times_woken,9.0
2011-12-14 00:00:00,sleep_times_woken,9.0
2011-11-29 00:00:00,sleep_times_woken,5.0
2012-06-26 00:00:00,sleep_times_woken,16.0
2012-03-03 00:00:00,sleep_times_woken,15.0
2012-02-27 00:00:00,sleep_times_woken,9.0
2012-02-22 00:00:00,sleep_times_woken,7.0
2012-03-08 00:00:00,sleep_times_woken,5.0
2011-12-20 00:00:00,sleep_times_woken,3.0
2011-12-15 00:00:00,sleep_times_woken,8.0
2011-12-10 00:00:00,sleep_times_woken,17.0
2012-02-28 00:00:00,sleep_times_woken,3.0
2012-02-23 00:00:00,sleep_times_woken,9.0
2012-03-19 00:00:00,sleep_times_woken,9.0
2011-11-30 00:00:00,sleep_times_woken,10.0
2011-11-20 00:00:00,sleep_times_woken,14.0
2012-02-13 00:00:00,sleep_times_woken,7.0
2012-01-14 00:00:00,sleep_times_woken,6.0
2012-03-01 00:00:00,sleep_times_woken,9.0
2012-05-10 00:00:00,sleep_times_woken,4.0
2012-01-12 00:00:00,weight,78.75
2011-12-13 00:00:00,weight,77.25
2011-12-23 00:00:00,weight,78.45
2012-01-02 00:00:00,weight,79.25
2012-01-22 00:00:00,weight,77.25
2011-05-13 00:00:00,weight,77.5643
2011-11-13 00:00:00,weight,79.28
2011-11-23 00:00:00,weight,78.19
2011-12-03 00:00:00,weight,78.19
2011-11-26 00:00:00,weight,78.83
2012-01-25 00:00:00,weight,76.55
2012-01-15 00:00:00,weight,78.7
2011-12-26 00:00:00,weight,78.55
2012-01-05 00:00:00,weight,78.85
2011-11-16 00:00:00,weight,78.83
2011-12-06 00:00:00,weight,77.56
2011-12-16 00:00:00,weight,78.4
2011-11-22 00:00:00,weight,78.74
2011-12-02 00:00:00,weight,77.29
2011-11-12 00:00:00,weight,79.37
2012-01-11 00:00:00,weight,78.9
2012-01-21 00:00:00,weight,77.45
2011-12-12 00:00:00,weight,77.35
2011-12-22 00:00:00,weight,78.0
2012-01-18 00:00:00,weight,77.0
2011-12-29 00:00:00,weight,78.4
2012-01-08 00:00:00,weight,79.2
2012-01-28 00:00:00,weight,78.05
2011-12-09 00:00:00,weight,77.65
2011-12-19 00:00:00,weight,77.75
2011-11-19 00:00:00,weight,78.56
2011-11-29 00:00:00,weight,77.92
2011-12-15 00:00:00,weight,78.25
2011-12-05 00:00:00,weight,77.56
2012-01-24 00:00:00,weight,76.55
2011-11-15 00:00:00,weight,79.01
2011-11-25 00:00:00,weight,78.19
2012-01-04 00:00:00,weight,79.25
2012-01-14 00:00:00,weight,78.2
2012-01-31 00:00:00,weight,76.9519
2012-01-07 00:00:00,weight,78.65
2012-01-17 00:00:00,weight,77.4
2011-12-18 00:00:00,weight,78.05
2011-12-28 00:00:00,weight,79.0
2012-01-27 00:00:00,weight,77.7
2011-11-18 00:00:00,weight,78.92
2011-11-28 00:00:00,weight,78.29
2011-12-08 00:00:00,weight,77.47
2011-12-01 00:00:00,weight,77.38
2012-01-30 00:00:00,weight,77.65
2012-01-20 00:00:00,weight,77.15
2011-12-21 00:00:00,weight,78.1
2011-12-31 00:00:00,weight,79.15
2012-01-10 00:00:00,weight,78.95
2011-11-11 00:00:00,weight,79.74
2011-11-21 00:00:00,weight,78.56
2011-12-11 00:00:00,weight,78.05
2011-11-27 00:00:00,weight,78.47
2011-11-17 00:00:00,weight,78.56
2012-01-06 00:00:00,weight,78.9
2012-01-16 00:00:00,weight,77.95
2011-12-17 00:00:00,weight,77.75
2011-12-24 00:00:00,weight,78.0
2012-01-03 00:00:00,weight,79.15
2012-01-13 00:00:00,weight,78.65
2012-01-23 00:00:00,weight,77.7
2011-12-04 00:00:00,weight,77.56
2011-12-14 00:00:00,weight,77.2
2011-11-24 00:00:00,weight,77.92
2011-11-14 00:00:00,weight,78.83
2011-12-10 00:00:00,weight,77.92
2011-12-20 00:00:00,weight,78.05
2011-12-30 00:00:00,weight,78.55
2011-11-10 00:00:00,weight,79.37
2011-11-30 00:00:00,weight,77.83
2011-11-20 00:00:00,weight,78.92
2012-01-09 00:00:00,weight,78.5
2012-01-19 00:00:00,weight,77.1
2012-01-26 00:00:00,weight,77.15
2012-01-12 00:00:00,fat_percent,21.595
2011-12-13 00:00:00,fat_percent,22.161
2011-12-23 00:00:00,fat_percent,21.092
2012-01-02 00:00:00,fat_percent,22.379
2012-01-22 00:00:00,fat_percent,21.594
2012-01-25 00:00:00,fat_percent,21.167
2012-01-15 00:00:00,fat_percent,22.171
2011-12-26 00:00:00,fat_percent,20.904
2012-01-05 00:00:00,fat_percent,21.962
2011-12-16 00:00:00,fat_percent,20.756
2012-01-11 00:00:00,fat_percent,21.997
2012-01-21 00:00:00,fat_percent,21.583
2011-12-12 00:00:00,fat_percent,22.328
2011-12-22 00:00:00,fat_percent,21.647
2012-01-18 00:00:00,fat_percent,21.711
2011-12-29 00:00:00,fat_percent,21.514
2012-01-08 00:00:00,fat_percent,21.577
2012-01-28 00:00:00,fat_percent,21.295
2011-12-09 00:00:00,fat_percent,19.3
2011-12-19 00:00:00,fat_percent,21.922
2011-12-15 00:00:00,fat_percent,22.46
2012-01-24 00:00:00,fat_percent,20.645
2012-01-04 00:00:00,fat_percent,21.71
2012-01-14 00:00:00,fat_percent,22.486
2012-01-31 00:00:00,fat_percent,20.913
2012-01-07 00:00:00,fat_percent,21.123
2012-01-17 00:00:00,fat_percent,21.597
2011-12-18 00:00:00,fat_percent,21.331
2011-12-28 00:00:00,fat_percent,22.212
2012-01-27 00:00:00,fat_percent,21.361
2012-01-30 00:00:00,fat_percent,21.623
2012-01-20 00:00:00,fat_percent,21.767
2011-12-21 00:00:00,fat_percent,21.564
2011-12-31 00:00:00,fat_percent,20.309
2012-01-10 00:00:00,fat_percent,21.06
2011-12-11 00:00:00,fat_percent,21.13
2012-01-06 00:00:00,fat_percent,21.69
2012-01-16 00:00:00,fat_percent,21.226
2011-12-17 00:00:00,fat_percent,22.02
2011-12-24 00:00:00,fat_percent,21.35
2012-01-03 00:00:00,fat_percent,22.416
2012-01-13 00:00:00,fat_percent,21.732
2012-01-23 00:00:00,fat_percent,20.623
2011-12-14 00:00:00,fat_percent,21.933
2011-12-10 00:00:00,fat_percent,19.114
2011-12-20 00:00:00,fat_percent,22.275
2011-12-30 00:00:00,fat_percent,21.41
2012-01-09 00:00:00,fat_percent,22.187
2012-01-19 00:00:00,fat_percent,21.973
2012-01-26 00:00:00,fat_percent,21.431
